category,catalog,name,description,detail
Filtro de Intercambio de calor y humedad (HMEF),HMEFLFM01,Filtro de intercambio de calor y humedad (HMEF) de baja filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa.,"Talla: infante, pediátrica, adulta"
Filtro de Intercambio de calor y humedad (HMEF),HMEFHFM01,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,"Talla: infante, pediátrica, adulta"
Filtro de Intercambio de calor y humedad (HMEF),HMEFHFM02,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,"Talla: infante, pediátrica, adulta"
Filtro de Intercambio de calor y humedad (HMEF),HMEFHFM03,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,"Talla: infante, pediátrica, adulta"
Filtro de Intercambio de calor y humedad (HMEF),HMEFHFM04,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,"Talla: infante, pediátrica, adulta"
Filtro de Intercambio de calor y humedad (HMEF),HMEFHFM05,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,"Talla: infante, pediátrica, adulta"
Filtro Bacterial/Viral (BVF),BVFHFM01,Filtro bacterial /viral (BVF),Estos filtros son utilizados para minimizar la penetración de partículas bacterianas y virales en cuidados intensivos y en anestesia.,"Talla: pediátrica, adulta"
Circuito Respiratorio,BCEXM01,Circuito respiratorio expandible,,"Talla: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m"
Circuito Respiratorio,BCCOM01,Circuito respiratorio corrugado,,"Talla: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m, longitud 2.0m"
Circuito Respiratorio,BCCXM01,Circuito respiratorio coaxial,,"Talla: longitud 1.5m, longitud 1.8, longitud 2.4m"
Circuito Respiratorio,BCSMM01,Circuito respiratorio agujero liso,,"Talla: longitud 1.5m, longitud 1.8"
Circuito Respiratorio,BCWWM01 (sin orificio)/BCWWM02 (2 orificios),Circuito respiratorio con sifón de agua (2 orificios o sin orificio) - Conector 'Y',,Talla: longitud 1.8m
Circuito Respiratorio,BCHWM01 (simple)/BCHWM02 (doble),Sistema de respiración con alambre calentador (simple / doble),,"Talla: infante, pediátrica, adulta"
Circuito Respiratorio,FGIM01K (kit)/ FGIM01C (circuito),Generador de flujo infantil (kit/circuito),,"Talla: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m"
Circuito Respiratorio,SCWTM01,Circuito de silicona con sifón,,"Talla: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m"
Montaje de cateter,CMM01,Montaje de catéter,,"Tipos: expandible, corrugado, agujero liso"
Mascarilla anestesia,SCAMM01,Mascarilla de anestesia de cojín suave,,"Talla: #1, #2, #3, #4, #5, #6"
Mascarilla anestesia,AMPVCFM01,Mascarilla de anestesia sin PVC,,"Talla: #1, #2, #3, #4, #5, #6"
