category-es,category-en,catalog-es,catalog-en,name-es,name-en,description-es,description-en,detail-es,detail-en
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFLFM01,HMEFLFM01,Filtro de intercambio de calor y humedad (HMEF) de baja filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFHFM01,HMEFHFM01,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFHFM02,HMEFHFM02,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFHFM03,HMEFHFM03,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFHFM04,HMEFHFM04,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro de Intercambio de calor y humedad (HMEF),Heat moisture exchanger filters (HMEF),HMEFHFM05,HMEFHFM05,Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Heat Moisture Exchanger filter (HMEF) low filtration,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.,These filters are used to prevent heat & moisture loss in the breathing system. They are also designed to prevent bacterial/viral cross contamination via breathing system used on an infectious patient during ventilation.,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Filtro Bacterial/Viral (BVF),Bacterial/Viral Filter (BVF),BVFHFM01,BVFHFM01,Filtro bacterial /viral (BVF),Bacterial/Viral Filter (BVF),Estos filtros son utilizados para minimizar la penetración de partículas bacterianas y virales en cuidados intensivos y en anestesia.,These filters are used to minimize the bacterial and viral particle penetration for use in anesthesia and intensive care.,"Talla: pediátrica, adulta","Size: pediatric, adult"
Circuito Respiratorio,Breathing Circuit,BCEXM01,BCEXM01,Circuito respiratorio expandible,Expandable Breathing Circuit,,,"Talla: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m","Size: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m"
Circuito Respiratorio,Breathing Circuit,BCCOM01,BCCOM01,Circuito respiratorio corrugado,Corrugated Breathing Circuit,,,"Talla: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m, longitud 2.0m","Size: longitud 1.0m, longitud 1.2m, longitud 1.5m, longitud 1.8m, longitud 2.0m"
Circuito Respiratorio,Breathing Circuit,BCCXM01,BCCXM01,Circuito respiratorio coaxial,Coaxial Breathing Circuit,,,"Talla: longitud 1.5m, longitud 1.8, longitud 2.4m","Size: longitud 1.5m, longitud 1.8, longitud 2.4m"
Circuito Respiratorio,Breathing Circuit,BCSMM01,BCSMM01,Circuito respiratorio agujero liso,Smoothbore Breathing Circuit,,,"Talla: longitud 1.5m, longitud 1.8","Size: longitud 1.5m, longitud 1.8"
Circuito Respiratorio,Breathing Circuit,BCWWM01 (sin orificio)/BCWWM02 (2 orificios),BCWWM01 (no hole)/BCWWM02 (2 holes),Circuito respiratorio con sifón de agua (2 orificios o sin orificio) - Conector 'Y',Breathing Circuit with water trap (2 holesor no hole),,,Talla: longitud 1.8m,Size: longitud 1.8m
Circuito Respiratorio,Breathing Circuit,BCHWM01 (simple)/BCHWM02 (doble),BCHWM01 (simple)/BCHWM02 (double),Sistema de respiración con alambre calentador (simple / doble),Heated wire breathing system(single/double),,,"Talla: infante, pediátrica, adulta","Size: Infant, pediatric, adult"
Circuito Respiratorio,Breathing Circuit,FGIM01K (kit)/ FGIM01C (circuito),FGIM01K (kit)/ FGIM01C (circuit),Generador de flujo infantil (kit/circuito),Infant flow generator (kit/circuit),,,"Talla: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m","Size: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m"
Circuito Respiratorio,Breathing Circuit,SCWTM01,SCWTM01,Circuito de silicona con sifón,Silicone circuit with water trap,,,"Talla: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m","Size: longitud 1.5m, longitud 1.8m, longitud 2.3m, longitud 3.0m"
Montaje de cateter,Catheter Mount,CMM01,CMM01,Montaje de catéter,Catheter Mount,,,"Tipos: expandible, corrugado, agujero liso","Types: expandible, corrugated, smooth hole"
Mascarilla anestesia,Anesthesia mask,SCAMM01,SCAMM01,Mascarilla de anestesia de cojín suave,Soft cushion anesthesia mask,,,"Talla: #1, #2, #3, #4, #5, #6","Size: #1, #2, #3, #4, #5, #6"
Mascarilla anestesia,Anesthesia mask,AMPVCFM01,AMPVCFM01,Mascarilla de anestesia sin PVC,PVC free anesthesia mask,,,"Talla: #1, #2, #3, #4, #5, #6","Size: #1, #2, #3, #4, #5, #6"
Mascarilla anestesia,Anesthesia mask,AMM01,AMM01,Mascarilla de anestesia estándar,Standard anesthesia mask,,,"Talla: #1, #2, #3, #4, #5, #6","Size: #1, #2, #3, #4, #5, #6"
Mascarilla anestesia,Anesthesia mask,AMSTBM01,AMSTBM01,Mascarilla de silicona para anestesia tipo B,Silicone anesthesia mask Type B,,,"Talla: #3, #4","Size: #3, #4"
Mascarilla anestesia,Anesthesia mask,AMSTAM01,AMSTAM01,Mascarilla de silicona para anestesia tipo A,Silicone anesthesia mask Type A,,,"Talla: #1, #2, #3, #4, #5, #6","Size: #1, #2, #3, #4, #5, #6"
Bolsa de respiración,Breathing bag,BBLM01,BBLM01,Bolsa de respiración de látex,Latex Breathing bag,,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L","Volume: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,Breathing bag,BBFLM01,BBFLM01,Bolsa de respiración sin látex,Latex free breathing bag,,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L","Volume: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,Breathing bag,BBSM01,BBSM01,Bolsa de respiración de silicona,Silicone breathing bag,,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L","Volume: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,Breathing bag,BBRM01,BBRM01,Bolsa de respiración de goma,Rubber breathing bag,,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L, 0.5L","Volume: 0.5L, 1.0L, 2.0L, 3.0L, 0.5L"
Resucitador,Resuscitator,RESSEBSM01,RESSEBSM01,Resucitador de SEBS,SEBS resuscitator,,,Talla adulta,Adult size
Resucitador,Resuscitator,RESPVCM01,RESPVCM01,Resucitador de PVC,PVC resuscitator,,,Talla adulta,Adult size
Resucitador,Resuscitator,RESSM01,RESSM01,Resucitador de silicona,Silicone resuscitator,,,Talla adulta,Adult size
Resucitador,Resuscitator,RESLSM01,RESLSM01,Resucitador de silicona líquida,Liquid silicone resuscitator,,,Talla adulta,Adult size
Mascarilla CPAP,CPAP mask,CPAPMM01,CPAPMM01,Mascarilla CPAP (adulto),CPAP mask (adult),,,"Talla: grande, mediana, pequeña","Size: large, medium, small"
Mascarilla CPR,CPR mask,CPRMM01,CPRMM01,Mascarilla CPR,CPR mask,,,"Talla: pediátrica, adulta","Size: pediatric, adult"
Mascarilla Nasal,Nasal mask,NMM01,NMM01,Mascarilla nasal,Nasal mask,,,"Talla: grande, mediana, pequeña","Size: large, medium, small"
Conectores,Connectors,2WMM01,2WMM01,Colector de 2 vías,2-way manifold,,,Talla unica,Unique size
Conectores,Connectors,3WMM01,3WMM01,Colector de 3 vías,3-way manifold,,,Talla unica,Unique size
Conectores,Connectors,3WMPM01,3WMPM01,Colector de 3 vías con puerto,3-way manifold with port,,,Talla unica,Unique size
Mascarilla laríngea,Laryngeal mask,DLMPVCM01 ,DLMPVCM01 ,Mascarilla laríngea desechable de PVC,PVC disposable laryngeal mask,,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5","Size: #1, #1.5, #2, #2.5, #3, #4, #5"
